Program Name,Program Type,Size in Bytes
gtkdoc-rebase,Python script,2623
gtkdoc-scan,Python script,2801
gtkdoc-scangobj,Python script,3351
gtkdocize,a /usr/bin/sh script,4038
gtstemplate,C source,6113
guild,a /usr/bin/sh script,2872
guild2.2,a /usr/bin/sh script,2875
gunzip,a /usr/bin/sh script,2350
gvimtutor,a /usr/bin/sh script,147
gvmap.sh,a /usr/bin/sh script,2194
gzexe,a /usr/bin/sh script,6380
h2ph,Perl script text executable,29224
h2xs,Perl script text executable,60931
hash,a /usr/bin/sh script,32
hmaptool,Python script,9972
html2ps,Perl script text executable,132298
htmltree,Perl script text executable,1258
httpcfg,a /usr/bin/sh script,82
hwasan_symbolize,Python script,9680
ibus-setup,a /usr/bin/sh script,1175
ibus-setup-cangjie,Python script,2015
icu-config,a /usr/bin/sh script,205
icu-config-64,a /usr/bin/sh script,22194
idle2.7,Python script,93
idle3.5,Python script,93
idle3.6,Python script,93
idle3.7,Python script,93
idle3.8,Python script,93
idle3.9,Python script,93
ifnames,Perl script text executable,4128
ikdasm,a /usr/bin/sh script,81
install-catalog,a /usr/bin/sh script,4378
install-printerdriver,a /usr/bin/sh script,99
instmodsh,Perl script text executable,4194
instperf,Python script,1745
inxi,Perl script text executable,743351
ipython,Python script,961
ipython3,Python script,963
irb,Ruby script,504
isartags,Perl script text executable,2041
isc-config.sh,a /usr/bin/sh script,3421
isogmt,Bourne-Again shell script,1260
isort-3.9,Python script,948
ispell,a /usr/bin/sh script,992
java2html,a /usr/bin/sh script,51
jediepcserver,Python script,988
jobs,a /usr/bin/sh script,32
json_pp,Perl script text executable,4896
json_xs,Perl script text executable,7013
jsonlint,Python script,1503
jsonschema,Python script,973
jupyter,Python script,973
jupyter-bundlerextension,Python script,995
jupyter-kernel,Python script,993
jupyter-kernelspec,Python script,1001
jupyter-migrate,Python script,989
jupyter-nbconvert,Python script,984
jupyter-nbextension,Python script,985
jupyter-notebook,Python script,979
jupyter-qtconsole,Python script,976
jupyter-run,Python script,987
jupyter-serverextension,Python script,993
jupyter-troubleshoot,Python script,999
jw,a /usr/bin/sh script,12742
kdumpctl,Bourne-Again shell script,29938
kernel-install,Bourne-Again shell script,5310
keyring,Python script,961
keyring-python3,Python script,961
kibitz,a /usr/bin/sh script,10890
koi8rxterm,a /usr/bin/sh script,3763
konsoleprofile,a /usr/bin/sh script,1273
krb5-config,makefile script,7165
kvm_stat,Python script,62040
l4p-tmpl,Perl script text executable,1846
latextags,Perl script text executable,239
lc,a /usr/bin/sh script,77
ldd,Bourne-Again shell script,5447
legotags,Perl script text executable,2218
lesspipe.sh,a /usr/bin/sh script,3264
libmikmod-config,a /usr/bin/sh script,960
libnetcfg,Perl script text executable,15775
libpng16-config,a /usr/bin/sh script,2440
libreoffice,a /usr/bin/sh script,376
libtool,a /usr/bin/sh script,367757
libtoolize,a /usr/bin/sh script,129200
libwmf-fontmap,a /usr/bin/sh script,13344
libyui-terminal,a /usr/bin/sh script,1591
lightdm-settings,Python script,216
linux-boot-prober,a /usr/bin/sh script,5997
lneato,a /usr/bin/sh script,1551
lpunlock,a /usr/bin/sh script,2623
lsb_release,a /usr/bin/sh script,15933
lscat,a /usr/bin/sh script,853
lsinitrd,Bourne-Again shell script,10527
lsusb.py,Python script,14273
ltags,Perl script text executable,2466
lwp-download,Perl script text executable,10292
lwp-dump,Perl script text executable,2711
lwp-mirror,Perl script text executable,2413
lwp-request,Perl script text executable,16200
mailodf,Python script,2818
make-dummy-cert,a /usr/bin/sh script,614
mako-render-3.9,Python script,972
manview,a /usr/bin/sh script,91
map,Perl script text executable,4075
mbim-network,a /usr/bin/sh script,11347
mcheck,a /usr/bin/sh script,1683
mcomp,a /usr/bin/sh script,851
mconfig,a /usr/bin/sh script,82
mcs,a /usr/bin/sh script,78
mdassembler,a /usr/bin/sh script,299
mdoc,a /usr/bin/sh script,79
mdoc-assemble,a /usr/bin/sh script,38
mdoc-export-html,a /usr/bin/sh script,41
mdoc-export-msxdoc,a /usr/bin/sh script,43
mdoc-update,a /usr/bin/sh script,36
mdoc-validate,a /usr/bin/sh script,38
mdvalidater,a /usr/bin/sh script,48
mech-dump,Perl script text executable,4860
mimedump,Perl script text executable,2350
mimeencode,Perl script text executable,849
mimeexplode,Perl script text executable,3355
mimepostcard,Perl script text executable,2740
mimesend,Perl script text executable,3136
miniterm-3.py,Python script,35101
mintlocale,Bourne-Again shell script,64
mirmon,Perl script text executable,71023
mirrorMappings,Perl script text executable,3783
mirrorlist_statistics,Python script,7127
mkCSGB2312,Perl script text executable,2918
mkfontdir,a /usr/bin/sh script,69
mkindex,a /usr/bin/sh script,1101
mkinitrd,Bourne-Again shell script,6613
mkmapfile,Perl script text executable,4174
mkocp,a /usr/bin/sh script,175
mkofm,a /usr/bin/sh script,89
