Program Name,Program Type,Size in Bytes
streamzip,Perl script text executable,5587
xzgrep,a /usr/bin/sh script,5634
startx,a /usr/bin/sh script,5654
precat,a /usr/bin/sh script,5660
preunzip,a /usr/bin/sh script,5660
prezip,a /usr/bin/sh script,5660
mkpasswd-expect,a /usr/bin/sh script,5709
roff2dvi,Perl script text executable,5721
roff2html,Perl script text executable,5721
roff2pdf,Perl script text executable,5721
roff2ps,Perl script text executable,5721
roff2text,Perl script text executable,5721
roff2x,Perl script text executable,5721
gmtswitch,Bourne-Again shell script,5772
debinhex.pl,Perl script text executable,5792
chartex,Perl script text executable,5817
bogoupgrade,Perl script text executable,5825
zdiff,a /usr/bin/sh script,5884
os-prober,a /usr/bin/sh script,5919
linux-boot-prober,a /usr/bin/sh script,5997
odfimgimport,Python script,6040
gtstemplate,C source,6113
dbiprof,Perl script text executable,6206
